 %date ****************************begin********************************** %newline2020-09-30 11:29:01,574 [1] DEBUG Unity.MVC5.PreApplicationStartCode [(null)] - 注册PreRequestLifeTimeHttpModel
2020-09-30 11:29:01,724 [1] INFO  Unity_MVC.MvcApplication [(null)] - 系统物理文件地址：E:\study\后端学习\MVC\src\Unity_MVC\
2020-09-30 11:29:01,726 [1] INFO  Unity_MVC.MvcApplication [(null)] - 系统虚拟文件地址：/
2020-09-30 11:29:01,727 [1] INFO  Unity_MVC.MvcApplication [(null)] - 系统应用程序标识：/LM/W3SVC/5/ROOT
2020-09-30 11:29:01,728 [1] INFO  Unity_MVC.MvcApplication [(null)] - 系统实例所在应用程序域的域标识：/LM/W3SVC/5/ROOT-6-132459101412373202
2020-09-30 11:29:01,729 [1] INFO  Unity_MVC.MvcApplication [(null)] - 系统Bin文件夹地址：E:\study\后端学习\MVC\src\Unity_MVC\bin\
2020-09-30 11:29:01,730 [1] INFO  Unity_MVC.MvcApplication [(null)] - IIS版本：10.0
2020-09-30 11:29:01,731 [1] INFO  Unity_MVC.MvcApplication [(null)] -  .NET Framework 版本：4.5.2
2020-09-30 11:29:01,731 [1] INFO  Unity_MVC.MvcApplication [(null)] -  程序域基目录：E:\study\后端学习\MVC\src\Unity_MVC\
2020-09-30 11:29:01,738 [1] DEBUG Unity_MVC.MvcApplication [(null)] - Application_Start: 注册 ASP.NET MVC 应用程序中的所有区域。
2020-09-30 11:29:01,822 [1] DEBUG Unity_MVC.MvcApplication [(null)] - Application_Start: 注册 默认路由。
2020-09-30 11:29:01,823 [1] DEBUG Unity_MVC.MvcApplication [(null)] - Application_Start: 设置控制器工厂类。
2020-09-30 11:29:01,827 [1] DEBUG Unity_MVC.MvcApplication [(null)] - Application_Start: 设置过滤器
2020-09-30 11:29:01,831 [1] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int
2020-09-30 11:29:01,838 [1] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int：已注册的HttpModule["OutputCache","Session","WindowsAuthentication","FormsAuthentication","DefaultAuthentication","RoleManager","UrlAuthorization","FileAuthorization","AnonymousIdentification","Profile","UrlMappingsModule","ServiceModel-4.0","UrlRoutingModule-4.0","ScriptModule-4.0","__DynamicModule_Microsoft.VisualStudio.Web.PageInspector.Runtime.Tracing.PageInspectorHttpModule, Microsoft.VisualStudio.Web.PageInspector.Runtime, Version=15.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a_f9f718be-910b-4e11-a982-3aa4e8848ccc","__DynamicModule_System.Web.WebPages.WebPageHttpModule, System.Web.WebPages, Version=3.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35_47ca2f38-470f-4f36-8944-212465d1342a","__DynamicModule_Unity.MVC5.PreRequestLifeTimeHttpModel, Unity.MVC5, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null_f1aba139-7da1-4417-9a48-1d2601361476"]
2020-09-30 11:29:01,843 [1] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int：已注册的委托事件{}
2020-09-30 11:29:01,844 [1] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int：已注册的HttpModule["OutputCache","Session","WindowsAuthentication","FormsAuthentication","DefaultAuthentication","RoleManager","UrlAuthorization","FileAuthorization","AnonymousIdentification","Profile","UrlMappingsModule","ServiceModel-4.0","UrlRoutingModule-4.0","ScriptModule-4.0","__DynamicModule_Microsoft.VisualStudio.Web.PageInspector.Runtime.Tracing.PageInspectorHttpModule, Microsoft.VisualStudio.Web.PageInspector.Runtime, Version=15.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a_f9f718be-910b-4e11-a982-3aa4e8848ccc","__DynamicModule_System.Web.WebPages.WebPageHttpModule, System.Web.WebPages, Version=3.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35_47ca2f38-470f-4f36-8944-212465d1342a","__DynamicModule_Unity.MVC5.PreRequestLifeTimeHttpModel, Unity.MVC5, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null_f1aba139-7da1-4417-9a48-1d2601361476"]
2020-09-30 11:29:01,845 [1] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int：已注册的委托事件{}
2020-09-30 11:29:01,877 [1] DEBUG Unity_MVC.DDD.Services.BaseService [(null)] - Unity_MVC.DDD.Services.SingletonService：实例化
2020-09-30 11:29:01,879 [1] DEBUG Unity_MVC.DDD.Services.BaseService [(null)] - Unity_MVC.DDD.Services.SingletonService：To Do SomeThing
2020-09-30 11:29:01,895 [41] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int
2020-09-30 11:29:01,896 [41] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int：已注册的HttpModule["OutputCache","Session","WindowsAuthentication","FormsAuthentication","DefaultAuthentication","RoleManager","UrlAuthorization","FileAuthorization","AnonymousIdentification","Profile","UrlMappingsModule","ServiceModel-4.0","UrlRoutingModule-4.0","ScriptModule-4.0","__DynamicModule_Microsoft.VisualStudio.Web.PageInspector.Runtime.Tracing.PageInspectorHttpModule, Microsoft.VisualStudio.Web.PageInspector.Runtime, Version=15.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a_f9f718be-910b-4e11-a982-3aa4e8848ccc","__DynamicModule_System.Web.WebPages.WebPageHttpModule, System.Web.WebPages, Version=3.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35_47ca2f38-470f-4f36-8944-212465d1342a","__DynamicModule_Unity.MVC5.PreRequestLifeTimeHttpModel, Unity.MVC5, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null_f1aba139-7da1-4417-9a48-1d2601361476"]
2020-09-30 11:29:01,897 [41] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int：已注册的委托事件{}
2020-09-30 11:29:01,898 [41] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int：已注册的HttpModule["OutputCache","Session","WindowsAuthentication","FormsAuthentication","DefaultAuthentication","RoleManager","UrlAuthorization","FileAuthorization","AnonymousIdentification","Profile","UrlMappingsModule","ServiceModel-4.0","UrlRoutingModule-4.0","ScriptModule-4.0","__DynamicModule_Microsoft.VisualStudio.Web.PageInspector.Runtime.Tracing.PageInspectorHttpModule, Microsoft.VisualStudio.Web.PageInspector.Runtime, Version=15.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a_f9f718be-910b-4e11-a982-3aa4e8848ccc","__DynamicModule_System.Web.WebPages.WebPageHttpModule, System.Web.WebPages, Version=3.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35_47ca2f38-470f-4f36-8944-212465d1342a","__DynamicModule_Unity.MVC5.PreRequestLifeTimeHttpModel, Unity.MVC5, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null_f1aba139-7da1-4417-9a48-1d2601361476"]
2020-09-30 11:29:01,898 [41] DEBUG Unity_MVC.MvcApplication [(null)] - MvcApplication.Int：已注册的委托事件{}
2020-09-30 11:29:01,899 [41] DEBUG Unity_MVC.DDD.Services.BaseService [(null)] - Unity_MVC.DDD.Services.SingletonService：To Do SomeThing
2020-09-30 11:29:01,901 [41] DEBUG Unity_MVC.MvcApplication [(null)] - =====================BEGIN BeginRequest=============================
2020-09-30 11:29:01,902 [41] DEBUG Unity_MVC.MvcApplication [(null)] - BeginRequest: 作为执行的 HTTP 管道链中的第一个事件发生，当 ASP.NET 的请求做出响应
2020-09-30 11:29:01,903 [41] DEBUG Unity_MVC.MvcApplication [(null)] - =====================END BeginRequest=============================
2020-09-30 11:29:01,919 [41] DEBUG Unity_MVC.MvcApplication [(null)] - AuthenticateRequest:当安全模块已建立的用户标识时出现
2020-09-30 11:29:01,921 [41] DEBUG Unity_MVC.MvcApplication [(null)] - PostAuthenticateRequest:当安全模块已建立的用户标识时出现
2020-09-30 11:29:01,923 [41] DEBUG Unity_MVC.MvcApplication [(null)] - AuthorizeRequest:安全模块已验证用户身份验证时发生
2020-09-30 11:29:01,924 [41] DEBUG Unity_MVC.MvcApplication [(null)] - PostAuthorizeRequest:当前请求的用户已被授权时发生
2020-09-30 11:29:01,925 [41] DEBUG Unity_MVC.MvcApplication [(null)] - ResolveRequestCache:在 ASP.NET 完成授权事件以使缓存模块从缓存中为请求提供服务后发生，从而绕过事件处理程序（例如某个页或 XML Web services）的执行。
2020-09-30 11:29:01,929 [41] DEBUG Unity_MVC.App_Start.MyControllerFactory [(null)] - GetControllerType：获取控制器类型【Home】
2020-09-30 11:29:01,938 [41] DEBUG Unity_MVC.App_Start.MyControllerFactory [(null)] - SessionStateBehavior：返回控制器的会话行为【Unity_MVC.Controllers.HomeController】
2020-09-30 11:29:01,945 [41] DEBUG Unity_MVC.MvcApplication [(null)] - PostResolveRequestCache:   ASP.NET 将绕过当前事件处理程序的执行，并允许缓存模块以处理从缓存请求时发生。
2020-09-30 11:29:01,946 [41] DEBUG Unity_MVC.MvcApplication [(null)] - MapRequestHandler:应用程序映射请求处理程(RequestHandler)序时触发
2020-09-30 11:29:01,947 [41] DEBUG Unity_MVC.MvcApplication [(null)] - PostMapRequestHandler:ASP.NET 已映射到相应的事件处理程序的当前请求时出现。
2020-09-30 11:29:01,949 [41] DEBUG Unity_MVC.MvcApplication [(null)] - AcquireRequestState：  当 ASP.NET 获取与当前的请求相关联的当前状态 （例如，会话状态）。
2020-09-30 11:29:01,950 [41] DEBUG Unity_MVC.MvcApplication [(null)] - PostAcquireRequestState:获取与当前的请求相关联的请求状态 （例如，会话状态） 时发生。
2020-09-30 11:29:01,960 [41] DEBUG Unity_MVC.MvcApplication [(null)] - PreRequestHandlerExecute: ASP.NET 开始执行事件处理程序 （例如，一个页面或 XML Web 服务） 之前发生。
